Burn sample, txid: 303fd112be2cdaf9a3624ad0d7b03af326876c9a80d53dec35183a865a0ca99d, most_recent_burn: 18000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 18000]
Burn sample, txid: 19af6621271d4aeb226b0c5ca689fe45300798710b2a0717d26f69c6ae2a78b1, most_recent_burn: 110000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 110000]
Burn sample, txid: 449242f453cfde24580b08d268e81776417467b22619a268ef624a4be826d996, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: eca206cf20abc63db83085fd1cc640cf1b57a082ad22ac7a09724a249afbbb65, most_recent_burn: 25000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 25000]
Burn sample, txid: bd4da6a0ab68deb6131fa70fbfdc1f4c1d625e5f10883d34b73cbfc42700d324, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 30000, 30000]
Burn sample, txid: 217b3d57be1c78e1bf284df9bf1007faf7e030456af4fb97438617ec81011c80, most_recent_burn: 60000, median_burn: 1, all_burns: [1, 1, 1, 1, 60000, 60000]
Burn sample, txid: 787f4ad691fb48e16e7109df3ad36de368dd13ceee22e6aea8e0b195a8501172, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 40000]
Burn sample, txid: 54a24b7e7ed1bbd5ad777978b4720ae296e6fb398baba6448d087666cdb67262, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: fa4f0db48c81d9fb4d5612c6ee82c859cf0d4694bb2fc39dc855d9bfe239b70f, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 40000, 40000]
Burn sample, txid: d90f21e744bde227ddb0f82c18e6f22e065d1b114470a86196a550482b953f2f, most_recent_burn: 18000, median_burn: 1, all_burns: [1, 1, 1, 1, 18000, 18000]
Burn sample, txid: cfb3ca9eb157e0f74112be1341f8eac3a11c97814b066df481e5e5b7fbb71031, most_recent_burn: 110000, median_burn: 1, all_burns: [1, 1, 1, 1, 110000, 110000]
Burn sample, txid: 42e7e314897be02b94aa978da49c187ce4872a65c8f4f3fff7cfa3aded50ff89, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 204c61050bf4593ba401857b92c70c4c4927bff5dcd66391127f77d00cd732a4, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 40000]
Burn sample, txid: bf2275e7a67593ce7d3eceadc957df08119b683fcb330bd9505e9e2c85cf9470, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 30000]
Burn sample, txid: 614f37ee66cd9b873e78746de3a07a065d29a44f28e7893ac9e60b338b5fa1c4, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: e56b39d5529b17bd0334968fffd92d49ec1a544928c313716630f52eca271c74, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 30000]
Burn sample, txid: 7ad7e042979b6082d1907409f13b3b5077336a5608f6028e48a898ef379a6466, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 22757ab500344836bba94d147715324a7c376d0ef9e149e89c80495a7e20c8aa, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 40000]
Burn sample, txid: 71e8e6b71bebc4ed95ca51192ec8d0c67a326b7e977cb8c691780492834c06e0, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 26cb813f34fa55d717a6c441e1085ac19a1739f580e40b4ba230c48d825841ee, most_recent_burn: 110000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 110000]
Burn sample, txid: 5b4ae42052210a4f4e762077dcf95159597eee8087de6036511c695e5ec543cf, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 30000]
Burn sample, txid: b8c4614c67db002ecfb51c5f2afdecfe80195f97ec02f0da99ab3dce6320e1c3, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 30000, 30000]
Burn sample, txid: 748e0d2ef4f46775065628349d1eb6e93ca6e8eb4a24a4cccfe8f34c983dc6c6, most_recent_burn: 20000, median_burn: 10000, all_burns: [1, 1, 1, 20000, 20000, 20000]
Burn sample, txid: fe23b9c5c48f54c42ece518cba5ca54ff032a622cb743761eae61566548108fa, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 9a4c1d4f1788fae3b25947b7aa3a53e2ea83ece4535fcd507c8cf154053a2d26, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 40000]
Burn sample, txid: 7327e4285acd7a27d70dd32f61a9d61ad6c0012e26449dcaf32662c500e7e06b, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
